Column1.3,Column1.5,Column1.7
F31,,
1.00000000000000,,
8.835992638,,
,8.835992638,
,0,11.11074883
,,Sn
,,
,,
0.3592328513883456,0.375,0.6521310071108063
0.3750847302660561,0.875,0.6309023374582106
0.8907671486116543,0.375,0.6521310071108063
0.8749152697339443,0.875,0.6309023374582106
0.1250000000000000,0.12508473,0.3690976625417903
0.1250000000000000,0.62491527,0.3690976625417903
0.6250000000000000,0.109232851,0.3478689928891932
0.6250000000000000,0.640767149,0.3478689928891932
0.3704004535703840,0.375,0.1240149066187267
0.3634969620592114,0.875,0.1190504038409703
0.8795995464296154,0.375,0.1240149066187267
0.8865030379407889,0.875,0.1190504038409703
0.1250000000000000,0.113496962,0.8809495961590296
0.1250000000000000,0.636503038,0.8809495961590296
0.6250000000000000,0.120400454,0.8759850933812730
0.6250000000000000,0.629599546,0.8759850933812730
0.3751901361334163,0.11241132,0.8148719793171323
0.3751901361334163,0.63758868,0.8148719793171323
0.8748098638665834,0.11241132,0.8148719793171323
0.8748098638665834,0.63758868,0.8148719793171323
0.1250000000000000,0.375,0.8381742377289305
0.1250000000000000,0.875,0.7944627213573474
0.6250000000000000,0.375,0.8692628205775675
0.6250000000000000,0.875,0.7825173486457333
0.1250000000000000,0.375,0.2174826513542665
0.1250000000000000,0.875,0.2055372786426525
0.6250000000000000,0.375,0.1307371794224327
0.6250000000000000,0.875,0.1618257622710694
0.3624113200178076,0.125190136,0.1851280206828678
0.3624113200178076,0.624809864,0.1851280206828678
0.8875886799821924,0.125190136,0.1851280206828678
0.8875886799821924,0.624809864,0.1851280206828678
0.3847565742194586,0.134756574,0.5000000000000000
0.3847565742194586,0.615243426,0.5000000000000000
0.8652434257805413,0.134756574,0.5000000000000000
0.8652434257805413,0.615243426,0.5000000000000000
0.1250000000000000,0.375,0.5000078690967593
0.1250000000000000,0.875,0.5000000000000000
0.6250000000000000,0.875,0.4999921309032406
0.4324348657046757,0.375,0.3114298470585374
0.3944789557043467,0.875,0.3120826937559127
0.8175651342953243,0.375,0.3114298470585374
0.8555210442956536,0.875,0.3120826937559127
0.1250000000000000,0.144478956,0.6879173062440872
0.1250000000000000,0.605521044,0.6879173062440872
0.6250000000000000,0.182434866,0.6885701529414627
0.6250000000000000,0.567565134,0.6885701529414627
